Burning Time; Firing Node; Firing Neuron; Burning Node; Burning Neuron;External Source; From Internal State; To Internal State; Step in State; Post Synaptic Weight; Pre Synaptic Weight; Instant to Fire; (Afferent) Firing Time
1.2; 1; 104; 1; 4; true; 0.5247899825993965; 0.5987899825993964; 0.074; 1; 0.074;-1;1.2
1.2; 1; 109; 1; 9; true; 0.5929455931749681; 0.666945593174968; 0.074; 1; 0.074;-1;1.2
1.2; 0; 132; 0; 32; true; 0.5727461601476282; 0.6477461601476282; 0.075; 1; 0.075;-1;1.2
1.2; 1; 114; 1; 14; true; 0.5219192406414612; 0.5959192406414612; 0.074; 1; 0.074;-1;1.2
1.2; 0; 116; 0; 16; true; 0.9057658779519762; 0.9807658779519761; 0.075; 1; 0.075;-1;1.2
1.2; 1; 124; 1; 24; true; 0.5916147686454027; 0.6656147686454027; 0.074; 1; 0.074;-1;1.2
1.2; 1; 102; 1; 2; true; 0.1876855949439213; 0.2616855949439214; 0.074; 1; 0.074;-1;1.2
1.2; 0; 117; 0; 17; true; 0.1370081771330294; 0.2120081771330294; 0.075; 1; 0.075;-1;1.2
1.2; 1; 121; 1; 21; true; 0.0541108482821827; 0.1281108482821827; 0.074; 1; 0.074;-1;1.2
1.2; 1; 122; 1; 22; true; 0.6663517762792732; 0.7403517762792732; 0.074; 1; 0.074;-1;1.2
1.2; 1; 123; 1; 23; true; 0.5577475536919825; 0.6317475536919824; 0.074; 1; 0.074;-1;1.2
1.2; 1; 105; 1; 5; true; 0.004; 0.078; 0.074; 1; 0.074;-1;1.2
0.2; 2; 130; 2; 30; true; 0.8330073876929113; 0.9070073876929112; 0.074; 1; 0.074;-1;0.2
1.2; 1; 111; 1; 11; true; 0.7835837698466532; 0.8575837698466532; 0.074; 1; 0.074;-1;1.2
1.2; 2; 129; 2; 29; true; 0.4418769120758168; 0.5158769120758168; 0.074; 1; 0.074;-1;1.2
1.2; 1; 128; 1; 28; true; 0.4564779759824307; 0.5304779759824307; 0.074; 1; 0.074;-1;1.2
1.2; 0; 134; 0; 34; true; 0.894328525792778; 0.969328525792778; 0.075; 1; 0.075;-1;1.2
1.2; 2; 130; 2; 30; true; 0.8370073876929112; 0.9110073876929111; 0.074; 1; 0.074;-1;1.2
1.2; 1; 126; 1; 26; true; 0.7751217810948032; 0.8491217810948032; 0.074; 1; 0.074;-1;1.2
1.2; 2; 110; 2; 10; true; 0.3344921348217822; 0.4084921348217822; 0.074; 1; 0.074;-1;1.2
1.2; 1; 112; 1; 12; true; 0.6753539185391091; 0.749353918539109; 0.074; 1; 0.074;-1;1.2
1.2; 0; 108; 0; 8; true; 0.5989681555383783; 0.6739681555383783; 0.075; 1; 0.075;-1;1.2
1.2; 2; 136; 2; 36; true; 0.1933475028457912; 0.2673475028457912; 0.074; 1; 0.074;-1;1.2
1.2; 2; 131; 2; 31; true; 0.6138429822585258; 0.6878429822585258; 0.074; 1; 0.074;-1;1.2
1.2; 0; 144; 0; 44; true; 0.8232561253046728; 0.8982561253046728; 0.075; 1; 0.075;-1;1.2
1.2; 1; 125; 1; 25; true; 0.5793004910225208; 0.6533004910225207; 0.074; 1; 0.074;-1;1.2
1.2; 2; 101; 2; 1; true; 0.1315953577029252; 0.2055953577029252; 0.074; 1; 0.074;-1;1.2
1.2; 0; 139; 0; 39; true; 0.5022366559569127; 0.5772366559569126; 0.075; 1; 0.075;-1;1.2
1.2; 2; 100; 2; 0; true; 0.8868301672149517; 0.9608301672149516; 0.074; 1; 0.074;-1;1.2
1.2; 0; 138; 0; 38; true; 0.8368377010431944; 0.9118377010431944; 0.075; 1; 0.075;-1;1.2
1.2; 2; 139; 2; 39; true; 0.5288318312161493; 0.6028318312161492; 0.074; 1; 0.074;-1;1.2
1.2; 1; 127; 1; 27; true; 0.6699774846392161; 0.7439774846392161; 0.074; 1; 0.074;-1;1.2
1.2; 2; 115; 2; 15; true; 0.5770436815208213; 0.6510436815208213; 0.074; 1; 0.074;-1;1.2
1.2; 2; 103; 2; 3; true; 0.2100503470285402; 0.2840503470285402; 0.074; 1; 0.074;-1;1.2
1.2; 2; 107; 2; 7; true; 0.6281007084276611; 0.702100708427661; 0.074; 1; 0.074;-1;1.2
1.2; 2; 135; 2; 35; true; 0.0537295636705251; 0.1277295636705251; 0.074; 1; 0.074;-1;1.2
1.2; 2; 133; 2; 33; true; 0.4898307405257664; 0.5638307405257664; 0.074; 1; 0.074;-1;1.2
1.2; 2; 132; 2; 32; true; 0.3875995257492039; 0.4615995257492039; 0.074; 1; 0.074;-1;1.2
1.2; 2; 116; 2; 16; true; 0.0155392570834494; 0.0895392570834494; 0.074; 1; 0.074;-1;1.2
1.2; 2; 117; 2; 17; true; 0.8809213937482798; 0.9549213937482798; 0.074; 1; 0.074;-1;1.2
1.2; 2; 134; 2; 34; true; 0.1224301025256138; 0.1964301025256138; 0.074; 1; 0.074;-1;1.2
1.2; 2; 108; 2; 8; true; 0.1112202285766717; 0.1852202285766717; 0.074; 1; 0.074;-1;1.2
1.2; 2; 120; 2; 20; true; 0.9582549406309766; 1.0322549406309767; 0.074; 1; 0.074;-1;1.2
1.2; 2; 138; 2; 38; true; 0.0589744315575723; 0.1329744315575723; 0.074; 1; 0.074;-1;1.2
1.2; 2; 118; 2; 18; true; 0.9659715488053351; 1.0399715488053352; 0.074; 1; 0.074;-1;1.2
1.2; 2; 137; 2; 37; true; 0.6166603655619902; 0.6906603655619902; 0.074; 1; 0.074;-1;1.2
1.2; 2; 119; 2; 19; true; 0.6977896134235029; 0.7717896134235028; 0.074; 1; 0.074;-1;1.2
1.2; 0; 118; 0; 18; true; 0.5474879226443532; 0.6224879226443532; 0.075; 1; 0.075;-1;1.2
1.2; 1; 106; 1; 6; true; 0.153298760608057; 0.227298760608057; 0.074; 1; 0.074;-1;1.2
1.2; 2; 104; 2; 4; true; 0.2105511187410589; 0.2845511187410589; 0.074; 1; 0.074;-1;1.2
1.2; 2; 109; 2; 9; true; 0.9024300464342969; 0.9764300464342969; 0.074; 1; 0.074;-1;1.2
1.2; 2; 114; 2; 14; true; 0.1510023788746999; 0.2250023788746999; 0.074; 1; 0.074;-1;1.2
1.2; 2; 124; 2; 24; true; 0.0469002050950222; 0.1209002050950222; 0.074; 1; 0.074;-1;1.2
1.2; 2; 102; 2; 2; true; 0.5488853365300248; 0.6228853365300248; 0.074; 1; 0.074;-1;1.2
1.2; 2; 121; 2; 21; true; 0.0606421378986218; 0.1346421378986218; 0.074; 1; 0.074;-1;1.2
1.2; 2; 122; 2; 22; true; 0.5333016039917526; 0.6073016039917526; 0.074; 1; 0.074;-1;1.2
1.2; 2; 123; 2; 23; true; 0.6176520046482894; 0.6916520046482894; 0.074; 1; 0.074;-1;1.2
1.2; 2; 105; 2; 5; true; 0.960228434953345; 1.034228434953345; 0.074; 1; 0.074;-1;1.2
1.2; 2; 111; 2; 11; true; 0.4395007361824178; 0.5135007361824178; 0.074; 1; 0.074;-1;1.2
1.2; 2; 128; 2; 28; true; 0.0916008281127842; 0.1656008281127843; 0.074; 1; 0.074;-1;1.2
1.2; 2; 126; 2; 26; true; 0.0041107419320093; 0.0781107419320093; 0.074; 1; 0.074;-1;1.2
1.2; 2; 112; 2; 12; true; 0.9475187621945511; 1.0215187621945512; 0.074; 1; 0.074;-1;1.2
1.2; 2; 125; 2; 25; true; 0.3134327243506889; 0.3874327243506889; 0.074; 1; 0.074;-1;1.2
1.2; 2; 127; 2; 27; true; 0.8796313159756095; 0.9536313159756095; 0.074; 1; 0.074;-1;1.2
1.2; 2; 106; 2; 6; true; 0.5160819492729227; 0.5900819492729227; 0.074; 1; 0.074;-1;1.2
1.2; 2; 113; 2; 13; true; 0.5048084379046434; 0.5788084379046433; 0.074; 1; 0.074;-1;1.2
2.2; 2; 106; 2; 6; true; 0.5200819492729226; 0.5940819492729226; 0.074; 1; 0.074;-1;2.2
2.2; 2; 113; 2; 13; true; 0.5088084379046433; 0.5828084379046432; 0.074; 1; 0.074;-1;2.2
